ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
375,35 COMMONWEALTH,MARLBORO,,1-Mar-15,1
376,14 FRATERNAL,WORCESTER,HILMA ST,1-Mar-15,1
377,1 BUCKLEY,WORCESTER,,1-Mar-15,2
378,26 STRATTON,HUDSON,AVON DR,10-Mar-15,2
379,1540 CAMBRIDGE,CAMBRIDGE,ELLSWORTH AVE,19-Mar-15,2
380,UNION,FAIRHAVEN,@ MAIN ST,2-Mar-15,2
381,309 ALDEN,FAIRHAVEN,QUINCY ST,2-Mar-15,1
382,110 ADAMS,FAIRHAVEN,,2-Mar-15,1
383,117 WARREN,MARLBORO,,2-Mar-15,1
384,22 PRINCETON,MILFORD,,2-Mar-15,2
385,716 HIGHLAND,NEEDHAM,,2-Mar-15,2
386,35 FILMORE,PLYMOUTH,,2-Mar-15,1
387,CASCADE,WORCESTER,@ MONICA RD,2-Mar-15,1
388,119 MAPLEWOOD,MARLBORO,RUSSELL ST,3-Mar-15,2
389,506 ASHLEY,NEW BEDFORD,@ CLIFFORD ST,3-Mar-15,2
390,WEST BOYLSTON,WORCESTER,@ GROVE ST,3-Mar-15,1
391,21 PEACEDALE,WORCESTER,STEELE ST,3-Mar-15,1
392,281 CHESTNUT,NEEDHAM,,19-Mar-15,2
393,277-279 ALLSTON,CAMBRIDGE,KENWOOD ST,3-Mar-15,1
394,31 MULBERRY,FAIRHAVEN,,3-Mar-15,1
