ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
108652,37 VINE ST ,LNN ,WARREN ST ,8/29/96,3
108694,105 CENTRE ST ,MIL ,,11/6/96,3
108695,27 CENTRE ST ,MIL ,CENTRE LN ,11/6/96,3
108700,203 SCHOOL ST ,MIL ,,10/17/96,3
108719,27 BRIARFIELD RD ,MIL ,,10/25/96,3
108749,WINTHROP PK ,QUI ,SOUTH ST ,1/2/97,3
108898,9 ATLANTIC AV ,SAU ,,1/14/97,3
108953,8 HARWICH ST ,SAU ,LANCONIA AV ,1/15/97,3
109179,51 BICKNELL ST ,QUI ,,1/22/97,3
109184,44 LIND ST ,QUI ,,1/9/97,3
109190,SOUTHERN AR ,QUI ,,1/10/97,3
109276,ORNE ST ,SAL ,LEE ST ,1/31/97,3
109400,21 SENECA DR ,DAN ,,2/5/97,3
109443,63 FENNO ST ,QUI ,,2/4/97,3
109444,71 FENNO ST ,QUI ,,2/4/97,3
109692,11 SPRING ST ,BEV ,ESSEX ST ,2/14/97,3
109711,21 RIVER ST ,QUI ,,2/18/97,3
109724,335 CENTRE ST ,QUI ,,2/7/97,3
110009,9 CLARK AV ,BEV ,,2/28/97,3
110149,22 HOSMER ST ,ACT ,LONGFELLOW PK ,3/10/97,3
110291,7 DEER COVE RD ,SWA ,,3/20/97,3
110361,175 CONANT ST ,CON ,,3/25/97,3
110503,64 WILSON AV ,WEY ,,9/5/96,3
110519,814 WORCESTER TPKE ,WEL ,,3/27/97,3
110556,469 COLUMBIAN ST ,WEY ,,4/3/97,3
110623,STERLING ST ,CLI ,BROOK ST ,4/7/97,3
110783,WINTHROP AV ,REV ,DNE ,4/15/97,3
110929,355 ARLINGTON ST ,ACT ,,4/16/97,3
111015,113 THORNTON ST ,REV ,,4/23/97,3
111112,5 DOVER ST ,MED ,SUFFOLK ST ,4/26/97,3
111132,QUINCY SHORE DR ,QUI ,,4/11/97,3
111463,150 ESSEX ST ,WHI ,,4/30/97,3
111467,77 SOUTH AV ,WHI ,,5/1/97,3
111489,52 BROOK RD ,QUI ,,4/22/97,3
111494,274 COMMON ST ,QUI ,,4/23/97,3
111558,62 DOCKRAY ST ,QUI ,,4/16/97,3
111566,223 CENTRE ST ,DOR ,,4/28/97,3
111919,162 WASHINGTON TER ,WHI ,,5/13/97,3
