ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE,CAUSE
338284,14 DANIEL TER ,PEA ,BARTHOLOMEW ST ,5/15/14,2, CORROSION
338284,14 DANIEL TER ,PEA ,BARTHOLOMEW ST ,5/15/14,2, OTHER
338361,19 FEDERAL ST ,BEV ,CHAPMAN ST ,11/7/14,2, OTHER
338433,10 HARDING ST ,NEW ,CRAFTS ST ,9/15/14,2, NATURAL FORCE
338639,17 RICHMOND RD ,BEL ,PROSPECT ST ,8/7/14,2, CORROSION
338882,244 NEEDHAM ST ,NEW ,CHARLEMONT ST ,12/3/14,1, NATURAL FORCE
339919,144 WALPOLE ST ,NOR ,WALNUT AVE ,7/3/14,2, MATL OR WELD FAILURE
340212,498 ESSEX ST ,LNN ,HIGH ST ,11/23/14,2, OTHER
340349,11 CASTOR ST ,LOW ,LAWRENCE ST ,5/27/14,2, CORROSION
340432,80 SUMMIT AVE ,WAL ,FLORENCE RD ,8/8/14,2, CORROSION
340804,5 COLBY RD ,PEA ,HARVARD ST ,4/11/14,2, CORROSION
340869,2 BARCLAY RD ,WRO ,LAGRANGE ST ,7/1/14,, MATL OR WELD FAILURE
340889,370 PARK ST ,WRO ,MARTIN ST ,9/26/14,3, OTHER
341065,39 MOUNTAIN AVE ,LNN ,SUMMIT AVE ,7/9/14,2, OTHER
341093,12 COLUMBIA ST ,BRO ,HARVARD ST ,8/19/14,2, CORROSION
341246,188 COMMONWEALTH RD ,WAY ,WINTER ST ,4/10/14,3, CORROSION
341258,50 STICKNEY RD ,MED ,HUTCHINS RD ,11/21/14,2, CORROSION
343738,11 BILODEAU RD ,DOR ,HALL AVE ,3/17/14,2, OTHER
343738,11 BILODEAU RD ,DOR ,HALL AVE ,3/17/14,2, OTHER
343738,11 BILODEAU RD ,DOR ,HALL AVE ,3/17/14,2, OTHER
343738,11 BILODEAU RD ,DOR ,HALL AVE ,3/17/14,2, OTHER
343767,688 ROGERS ST ,LOW ,DOUGLAS RD ,8/6/14,2, CORROSION
343904,57 HIGHCREST RD ,ROS ,HIGHCREST TER ,3/25/14,, OTHER
